GeneSymbol,log2FC,pvalue,mean_severe,mean_non_severe,fdr,direction
C9orf66,-1.8054149552345966,0.0007320005982991801,3.3510609749914786,5.156475930226075,0.4429487615021118,down
MT1HL1,-1.1731804423273253,0.0007730142782153852,9.56545170460775,10.738632146935075,0.4429487615021118,down
CD300A,-1.1368052025200832,0.0008631231331896286,9.708935842212345,10.845741044732428,0.4429487615021118,down
GSR,-0.5364379203353931,0.0008652731322114597,8.448275109281989,8.984713029617382,0.4429487615021118,down
STARD3,-0.6843797142174637,0.0008781326939129151,5.9193487683785655,6.603728482596029,0.4429487615021118,down
IGF1,1.5119881757321147,0.0009590865244836596,6.810997265514909,5.299009089782794,0.4429487615021118,up
NAV2-AS2,-1.513508211888189,0.0010814711922523025,2.307649630390193,3.821157842278382,0.4429487615021118,down
ESR1,0.5584473584265304,0.0011420537873104363,6.935255170662742,6.376807812236212,0.4429487615021118,up
GSDMD,-0.6252438207609101,0.0011467978117535745,7.953325978100676,8.578569798861587,0.4429487615021118,down
ZFYVE16,-0.5804400714808846,0.001181214303876208,8.438014339006305,9.01845441048719,0.4429487615021118,down
USP19,-0.20642801073410766,0.0012334182714806457,8.372594004431452,8.57902201516556,0.4429487615021118,down
FOXN2,-0.3967021241023314,0.0012394471263461797,10.615182553179386,11.011884677281717,0.4429487615021118,down
MYL12B,-0.36371588121258647,0.0012441649954166468,12.387025792004819,12.750741673217405,0.4429487615021118,down
BMS1P20,1.7653936093793128,0.001275891660928312,9.835266061872101,8.069872452492788,0.4429487615021118,up
MT1X,-1.1047412351220434,0.0012951100278643475,10.40004496604682,11.504786201168864,0.4429487615021118,down
LOC100288798,1.1794356081049302,0.0013513120947738447,3.1343314781158034,1.9548958700108732,0.4429487615021118,up
GLDC,2.6009216138449833,0.001374924763247886,9.69754389195532,7.0966222781103365,0.4429487615021118,up
LRRFIP1,-0.52145715043787,0.001475579602509546,12.444283326357715,12.965740476795585,0.4429487615021118,down
KLHL30-AS1,1.3287260113748856,0.0014790232782312866,4.481982624801832,3.1532566134269464,0.4429487615021118,up
CNKSR1,0.6184918464374345,0.0015208989692172545,6.244647575169823,5.626155728732389,0.4429487615021118,up
CIC,-0.4769694804054172,0.0015267081095815592,6.3495909266071475,6.826560407012565,0.4429487615021118,down
GTF2A2,0.4055820266766146,0.0015576389230813675,7.891105860102445,7.48552383342583,0.4429487615021118,up
ADAM5,1.3655078283236133,0.0015841327274554514,4.6203426547134345,3.2548348263898212,0.4429487615021118,up
ZFP92,-0.8729205436851064,0.0016290086862005284,6.2455328742425404,7.118453417927647,0.4429487615021118,down
CDK19,-0.6602197943196622,0.001630075571072363,9.398956970114256,10.059176764433918,0.4429487615021118,down
MAGED1,1.0751379574172795,0.0016404528727704429,10.667079690610809,9.59194173319353,0.4429487615021118,up
CA3,-1.3647472701490573,0.0016493549941187908,2.378622857347549,3.7433701274966062,0.4429487615021118,down
GPRC5D,1.4931257551709223,0.001744541452857957,7.885967783863151,6.392842028692229,0.4429487615021118,up
CCDC70,-1.5074258314324487,0.0017547052298387575,2.3400771977797,3.847503029212149,0.4429487615021118,down
ATP6V0E1,-0.43771878021374633,0.0017604911050359791,12.68720354279525,13.124922323008997,0.4429487615021118,down
ST3GAL2,-0.6254735019695516,0.0017745204118823214,7.52876345435142,8.154236956320972,0.4429487615021118,down
DEPDC5,-0.586061929956494,0.0018327100142512722,5.490221776401573,6.076283706358067,0.4429487615021118,down
CHSY1,-0.48326688486616476,0.001841637471309692,11.098134924385981,11.581401809252146,0.4429487615021118,down
SEC61G,0.7450536942788588,0.0018422300848491328,10.62107327674593,9.876019582467071,0.4429487615021118,up
RFPL1S,-0.6152209307318754,0.0018625573841354653,4.784788364217493,5.400009294949369,0.4429487615021118,down
SIN3B,-0.6183094814966283,0.0018800832078464584,6.808138091415917,7.426447572912545,0.4429487615021118,down
ADPRHL2,-0.639352437250885,0.0019025056649350934,9.912723618585087,10.552076055835972,0.4429487615021118,down
SPR,-1.1323167752223298,0.001950956261002658,3.913787669920256,5.046104445142586,0.4429487615021118,down
MTMR4,-0.4388979570358451,0.0019677025279814376,9.56406496740445,10.002962924440295,0.4429487615021118,down
MAP4,-0.46075198215840274,0.001976516913676445,9.631312889126585,10.092064871284988,0.4429487615021118,down
CD53,-0.4258612701742681,0.0019806442531471813,12.482552606286678,12.908413876460946,0.4429487615021118,down
MGC16025,1.3662214421788579,0.0019900654248188663,3.3100385078418926,1.9438170656630347,0.4429487615021118,up
SAMHD1,-0.6745112695720383,0.001996088939039142,12.17706117663277,12.851572446204809,0.4429487615021118,down
NUMA1,-0.3972451625221822,0.002013014853690915,8.150759011242695,8.548004173764877,0.4429487615021118,down
LOC101927346,-1.872635874186594,0.0020487444621603776,1.5909279480365668,3.463563822223161,0.4429487615021118,down
USP16,0.5333111616814072,0.0020604458821951994,10.239613740768347,9.70630257908694,0.4429487615021118,up
GPR160,1.1118779702469972,0.00208124445968129,8.626927743102978,7.515049772855981,0.4429487615021118,up
