GeneSymbol,log2FC,pvalue,mean_severe,mean_non_severe,fdr,direction
JAKMIP2,-0.7724578101178112,1.1204904227624314e-09,5.798212702702702,6.570670512820513,1.8619602666490472e-05,down
ENPP5,-1.1542354954954943,1.7117538649956765e-09,4.311907837837838,5.466143333333332,1.8619602666490472e-05,down
DLG5,-1.032904608454607,3.332270750561944e-09,5.277845135135136,6.310749743589743,2.416451672615836e-05,down
PPM1L,-0.9564420720720728,1.0221666618392966e-08,6.125144594594594,7.0815866666666665,5.5593089320784745e-05,down
ZNF595,2.2809379625779638,7.758481605202836e-08,7.858310270270271,5.577372307692308,0.0003375715346423754,up
ZFP3,-0.6951294871794875,1.2709640344973415e-07,5.88552,6.580649487179487,0.00046083037617482774,down
NCALD,-0.8000459736659735,2.0895700250952546e-07,6.935933513513513,7.7359794871794865,0.0005844040351288964,down
PHLDB2,-0.8992903534303522,2.1490380514967462e-07,5.915468108108109,6.814758461538461,0.0005844040351288964,down
LOC286087,-1.386098503118503,2.6985702588492435e-07,3.382659189189189,4.768757692307692,0.0006523043997918366,down
POU5F1P4,0.3719790921690933,3.936984882530649e-07,7.192847297297297,6.820868205128204,0.0008564910611945427,up
FEZ1,-0.8010189327789332,5.764983983543479e-07,5.55607081081081,6.357089743589743,0.0010454934505509412,down
PDGFD,-0.7515371517671499,5.766913999821325e-07,6.7520805405405415,7.503617692307691,0.0010454934505509412,down
ZNF570,-0.43518764379764363,6.86363015384614e-07,5.166135945945946,5.60132358974359,0.001135071969829015,down
NHLRC2,-0.5305176160776162,7.759550952039604e-07,5.630596486486487,6.161114102564103,0.001135071969829015,down
APPL2,-0.6342006167706176,7.826283404934601e-07,5.566042972972973,6.20024358974359,0.001135071969829015,down
LOC100507395,0.5810687179487184,8.586665363954703e-07,5.21427,4.633201282051282,0.001167518156205216,up
ZSCAN26,-0.4019316701316695,1.0522636539801156e-06,6.456952432432433,6.858884102564103,0.0012494697831236833,down
SV2B,0.4531586001386003,1.1109837934045366e-06,5.911232702702703,5.458074102564103,0.0012494697831236833,up
LOC105369477,-0.5205859598059615,1.2528458849513829e-06,5.225653783783784,5.746239743589745,0.0012494697831236833,down
HCG11,-0.6254009216909218,1.261459831713561e-06,4.666147027027026,5.291547948717948,0.0012494697831236833,down
KIAA1671,-1.0134958766458766,1.2894704139293616e-06,6.752735405405404,7.76623128205128,0.0012494697831236833,down
NCAM1,-0.8938190367290364,1.2998678683788594e-06,6.316493783783784,7.21031282051282,0.0012494697831236833,down
TRIM71,0.5187257311157314,1.320974718999987e-06,4.751256756756757,4.232531025641026,0.0012494697831236833,up
SLC4A4,-0.813849826749828,1.3815471023107095e-06,4.896008378378378,5.709858205128206,0.0012523148837820619,down
KCNH7,1.4212538877338874,1.518089538074641e-06,5.872500810810811,4.451246923076924,0.0013210415160325526,up
LOC158402,-0.7947919611919607,2.0402348811992367e-06,6.407406756756758,7.202198717948718,0.0017071273015572845,down
CDRT15,0.3474306583506568,2.1405237037005418e-06,5.490807837837837,5.14337717948718,0.001709766826271851,up
SH3GLB2,0.33187767844767624,2.200573253762897e-06,7.769449729729729,7.437572051282053,0.001709766826271851,up
PAFAH2,-0.5005344975744981,2.4152460750327574e-06,6.452067297297297,6.9526017948717955,0.0018118509780116426,down
FRG1EP,0.6786458419958419,2.9157360490119746e-06,4.108988918918919,3.430343076923077,0.00211439459154185,up
TBX5,0.33083668052668,3.3780860306791263e-06,4.80107027027027,4.47023358974359,0.0023481222874116906,up
LOC101927365,-0.7280199168399166,3.4539146493759642e-06,5.135891621621622,5.863911538461538,0.0023481222874116906,down
SLC14A1,-0.5593665280665276,3.73185705339304e-06,3.846422702702703,4.405789230769231,0.002391126395401536,down
POMZP3,-0.8193872072072068,3.870271161896937e-06,6.59237945945946,7.411766666666667,0.002391126395401536,down
HIF1AN,-0.7359781288981297,3.927439224044413e-06,7.445266486486486,8.181244615384616,0.002391126395401536,down
ABAT,-0.9456369369369382,4.054760491451637e-06,7.290439729729729,8.236076666666667,0.002391126395401536,down
PARD6B,-0.5999335620235628,4.066728413231755e-06,4.18359054054054,4.783524102564103,0.002391126395401536,down
LINC00959,-0.585750887040887,4.305612864774679e-06,6.789062702702703,7.37481358974359,0.0024489618079285955,down
HPR,1.4011755925155907,4.556075963837003e-06,8.722064054054051,7.320888461538461,0.0024489618079285955,up
PYROXD2,-0.43129079695079664,4.67518282332145e-06,6.158579459459459,6.589870256410256,0.0024489618079285955,down
ZNF681,-0.5069237075537067,5.005880750386929e-06,4.8540227027027045,5.360946410256411,0.0024489618079285955,down
ENPP1,0.40814675675675716,5.0608760505280304e-06,4.641006756756757,4.23286,0.0024489618079285955,up
LOC101929500,-0.8312827442827437,5.125002698211403e-06,5.594276486486487,6.425559230769231,0.0024489618079285955,down
DBR1,-0.6842776576576544,5.2106283805638755e-06,7.301755675675676,7.986033333333331,0.0024489618079285955,down
SCD5,1.7792366805266822,5.230026352576199e-06,8.446730270270272,6.66749358974359,0.0024489618079285955,up
TTC16,-0.7459182467082464,5.301159158415413e-06,6.166369189189189,6.9122874358974356,0.0024489618079285955,down
